"type","Austria","Belgium","Czech Republic","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Latvia","Lithuania","Luxembourg","Netherlands","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","TÃ¼rkiye","United Kingdom"
"Mammals",26,21.4,15.8,12.7,4.5,10.7,13.6,36.4,25.2,16.1,0,1.8,18.3,8.1,10.3,0,18.9,23.9,11.6,19.6,22.2,38.2,15.1,13.8,36.6,13.1,10.3
"Birds",28.8,27.8,48.5,34.9,40.6,33.9,27,33.6,14.1,32.8,44,27.2,24.1,16.7,14.4,19.8,24.4,26.5,7.5,28.2,24.2,27.6,10.4,21.3,34.6,11,17.1
"Reptiles",64.3,40,58.3,12.5,40,16.7,23.7,69.2,13.6,26.7,0,0,19.6,28.6,28.6,33.3,71.4,0,25,20.4,41.7,75,18.3,33.3,78.9,15.1,13.3
"Amphibians",57.1,31.6,58.3,33.3,27.3,10,22.9,47.6,26.1,11.1,0,33.3,31.8,30.8,30.8,28.6,43.8,33.3,0,10,44.4,81,23.1,23.1,68.4,20.5,13.3
"Fish",39.4,20.4,25.3,3.4,8.7,12.9,16,24.9,9.5,43.2,0,0,7.3,2.3,4.8,27.9,23.7,5.9,19.8,33.8,15.2,18.3,3.7,15.2,34.3,0,0
"Marine Fish",0,14.1,0,0,6.1,0,13.3,22.3,2.7,0,0,4.5,4,2.4,2,0,17.5,6.4,5.6,0,0,5.3,0.7,17.5,0,0,0
"Freshwater Fish",39.4,34.9,25.3,14.5,16.7,17.4,18.8,27.2,31.8,43.2,0,17.9,25.8,2.2,7.4,27.9,32.5,3.1,22.1,0,15.2,47.1,41.7,7.1,34.3,25.5,0
"Vascular plants",33.4,23.3,40.2,5.6,10.1,6.6,8.5,32.8,4.4,14,11.9,9.6,7.7,10.8,9.7,26.8,25.5,21.6,15.3,0,14.6,9.7,11.7,16.7,25.6,1.6,8.4
"Mosses",23.4,26.9,28.1,11.3,26.6,33.7,0,34.2,0,26.3,0,19,19.6,10.9,10.2,0,23.6,22.1,11.8,0,44.6,0,5.1,14.8,40.3,0,13.2
"Lichens",21.1,59.1,37.3,22.1,32.6,23.8,0,44.2,0,15.8,0,0,5.7,3.5,17.2,0,22.8,19.2,33,0,23.7,0,0,0,36,0,6.6
"Invertebrates",1.8,10.8,10.8,14.1,1.2,5.3,20.7,36,0,27.6,0,14.6,0.8,0.5,0.4,15.4,32,8.9,3.2,0,6.6,0,0.5,2.8,34.1,0.4,1.4
